,0
242,"Ge awalnya milih Pak Anis,  pas umumin wakilnya Pak Imin gw auto gjdi milih Pak Anis.  Lanjut gw milih ke Pak Prabowo aja karena gw jga emang kagum sma Pak Prabowo.  Klo Pak Ganjar,  aduh klo Banteng gw engga deh.. Tp ke 3 Capres gw biasa aja. G ngejelek2in yg engga gw pilih.  Pakk Ganjar wakilnya bagus ittu Pak Mahfud.. Balik ke Pak Prabowo.  Menurut gw alasan utama beliau milih Mas Gibran karena terpaksa.. Mas Gibran aja bisa bikin konstitusi berubah sekejap sehinggga bisa jadi calon wakil,  klo Pak Prabowo g make Mas Gibran pasti putusan MK bsok umur Capres bakal disahin dan Pak Prabowo g bisa jdi Capres hahhahaa"
243,"Benar benar pilihan yang tepat pak @prabowo , selamat untuk kekalahan yang kesekian kalinya dan tahun 2029 nyalonin lagi ya pak. 👏"
244,bodoamat. aku sing penting tetep dukung bpk ganjar&bpk mahfud MD
245,Gak ngurussss
246,Pemimpin negara ko coba2😂😂😂😂
247,Hapunteun bapak Prabowo. Abdi teu janten milih Bapak🙏
248,Hm
249,Semakin mantab pilih Ga- Ma
250,Jalur by pass😂😂😂
251,Saya dukung
252,Welcome Cendana part 2👏👏👏
253,Ganjat aj lah..
254,"Prabowo salah langkah ngambil jalur,pasti terdampar lg 😂"
255,"Ajur,,,,ajurrrrr,,"
256,Lelucon apa lagi ini..
257,"Yg nolak, kshtau aku dong alasannya knp? Dia juga kompeten kok ku liat"
258,Hehehe
259,"Mendadak pindah haluan, Gibran? Boleh juga!"
260,Pertama kali di Indonesia anak presiden JD cawapres  dgn syarat  Aturan baru 😂
261,Wah Benar jadi dugaan orang selama ini
262,Ketua MK : sama-sama ponakanku
263,Jika ganjar menang tipis prabowo gugat ke MK dah psti di kabulkan...
264,"Ideal nya,, tadinya Ya.... PRABOWO - MAHFUD(RIDWAN KAMIL) - ANIES - MAHFUD (ERICK TOHIR) .... 😮😮😂😂😂 GIBRAN ANAK PAK JOKOWI( JADI CAWAPRES) 😂😂"
265,AHY auto patah hati lagi 😂😂😂
266,"Mencla mencle. Dulu respek, sekarang tdk respek blass. Paling nanti disetir Prabowo kalau mereka menang.😂😂"
267,Tontonan etika politik nasional kita yg penuh intrik dan penghianatan!
268,koalisi indonesia bubar..#2030.. #prabowo
269,Yakin menang ini sih...
270,Mahfud udah paling bener!!!
271,"Bisa dibayangin gak y klo tiba tiba Uda jd dan Wowo meninggal, tu anak martabak jadi presiden yg NOL PENGALAMAN,JS WALJOT JG KRN BPKNYA, BUAA BUBAR BKRI, AYO DOAIN RAME2 GANJAR MAFUD MENANK"
272,2 kubu melawan 1 kubu 🙌
273,Semakin kecewa
274,"Wah, nanti debat gimana ya😂"
275,Gak kebayang sama AHY... Promosikan gibran 👏
276,Semua bakal terbelah
277,Padahal ada pa Erick
278,Planga plongo jilid 2 . Jd gak sabar nunggu debat capres cawapres nnti👏
279,"Buat Mas @agusyudhoyono , sakit mana ditikung Cak Imin atau Gibran Mas ?"
280,"Seru nih 2 kontestan yg bertanding, klo yg ke-3 mah ga masuk hitungan, pasangan hiburan utk lucu2an aja 😂😂😂😂"
281,Mantap kita coblos nant gibran
282,DUAARRRR. Ga kaget 😂
283,Mari Beralih Ke ganjar. Apa apan ini
284,🙏 putar balik
285,"Fokus baca komen netijen, sudah mewakili yo @tututmarita"
286,Alhamdulillah kalah dong
287,Negara kita dagelan sekali ....sungguh menyedihkan ....😢😢
288,Sukak hati klenblah..
289,Belum mulai saja kita sudah disuguhi drama politik yang luar biasa. Semoga demokrasi Indonesia semakin matang dg literasi informasi yang baik sehingga bisa memutuskan pemimpin terbaik untuk Indonesia di 5 tahun kedepan.
290,"Mahkamah keluarga, untuk bisa ponakan jadi cawapres.😮"
291,tetap dukung Ganjar🔥🔥🔥❤️❤️
292,mantap...fix ganjar mahfud
293,Anies - Muhaimin For RI-1 tahun 2024
294,menuju indonesia yg lebih imut..
295,Anak kemarin sore di pemerintahan.. blunder pak wo.. mending Ganjar Mahfud lah
296,Gofud
297,Siap dukung dan turun gunung memenangkan mas Wali
298,"Marilah kita saling menghargai para capres dan cawapres. Saling menjatuhkan, baper serta nyiniyir itu tidak akan membuat kita menjadi pribadi yang lebih baik. Ayo kita dukung semua kontestan. Asalkan masih bernafaskan Pancasila dan Bhinneka Tunggal Ika."
299,Si cemen... Dari kmrn ditanya ngga saya ngga kemana mana.... Wkwkwkwkwk
300,Kembali lagi cerita dulu waktu anis lawan ahok... Sekarang mereka pintar bgmna cara untuk menjatuhkan prabowo dan ganjar dengan mencalonkan gibran.. Alhasil kedua kubuh akan pecah suara dan anis mulus untuk menjadi presiden..kmrin secara nyata ngejatuhin ahok tpi skrg dgn cara halus.
301,Isu MK masih anget TAI ayam...ehhh malah di pilih jd wakil nggak bahaya Ta.....🔥🔥
302,Prabowo blunder
303,GBLQ GBLQ
304,Test the water key teh😂
305,Saya kecewa..kok bisa gitu ya .klihatan Skali ada yg dipaksakan..klo ditanya malah banyak..n bukan urusan dia katanya..tanyakan ke bsangkuyan?😂😂😂
306,Kalau dalam perang hukuman bagi pengkhianat adalah ...
307,Hentikan politik dinasti saatnya bersatu Pilih Anies Muhaimin AMIN
308,Ga jd presiden skalian tho?? 😂😂
309,Kiamat
310,"Geleng geleng anguk anguk , dagelan"
311,ra masok
312,ABG = Asal Bukan Gibran @gibran_rakabuming
313,"Planga-plongo jilid baru. 
Kubu Perubahan berpotensi satu putaran 😂"
314,Tetoooootttttt
315,Cusss Ke Anis.
316,"Belum tentu menang, tpi lawan nya  tong kosong nyaring buyinya Ganjar spt Anis pinter omong...."
317,Pasangan Kakek sama Cucu ... Hehehe. Org akan menganggap Jokowi ... Kacang Lupa Kulitnya ... Akhir yg Sangat Jelek Buat Jokowi ...
318,🏳️🏳️🏳️
319,Skrng jd kroninya Cendana & para garong
320,Gak sia sia punya paman...
321,👏👏👏👏👏❤️❤️❤️❤️❤️😍😍😍😍😍
322,FIX.. AMIN.. Tadinya mau pilih prabowo eh wakilnya anaknya Jokowi. soalnya gw tidak suka rezim skrg. Ganjar jg ada PDIP rezim skrg jg.. jadid cocoknya AMIN saja... Apa loe apa loe...
323,😂😂😂
324,Ampuunnnn 🥴🥴🥴🥴🥴
325,👏👏👏👎👎👎
326,Yeeesss 😍😍
327,Jaksa agung bisa diganti agar tidak bisa mengincar menteri  pendukung prabowo dan anis.
328,Rekayasa penguasa jika jadi berkuasa  apa yg bakal terjadi
329,Mas gibran.... Aku mendukungmu....
330,😮😮😮😮😮😮
331,"Gak peduli , yg penting GAMA pemenang ny😍😍"
332,"Gimana perasaan SBY ya,anaknya dikalahakan anaknya Jokowi"
333,"Fix ini, entah om Gibran kelak kalah dari pilpres tahun depan, dan semisal November tahun depan juga mau maju jadi Jawa Tengah 1 pun dia bakalan dihujat habis²an sama netizen & partai yg dulu membesarkan dia🥲"
334,hahahahaha .... mantap tambah seru permainan 👏👏👏👏
335,Kurang mumpuni ...padahal tokoh yg senior banyak
336,"Pak owo kacau, bikin pendukung jelas milih pak MD, kacau kacaaauuu...."
337,Yg ditunggu2 prabowo-erick thohir eh malah milih cawapres yg belum berpengalaman yg lebih jauh pupus dh harapanku...😇
338,Gasspol bismillah
339,"Kenapa mesti bpk griban si pak , haruse di liat kinerja dia dulu lah minimal di solo , sampe akhir jabatan , gimana keadaan solo kedepan , dia baru mulai berpolitik , cuma karna pamor langsung jadi bakal cawapres"
340,Blunder Prabowo di gocek 😂😂😂😂...
341,😂😂😂😂😂..kualisi bakal pecah.....
342,Yuk kasi kesempatan pada kaum muda
343,"Gibran blm ada prestasi apa² uda dijadiin cawapres cm krn anak presiden, nyungsep lah ini si prabowo pdhl ngarepin dia bisa kalahin si pdip yg uda kesongongan."
344,"Mungkin jokowi ingin membuktikan kepada bu mega bahwa tanpa pdip seseorang itu bisa menjadi wapres (alias bisa jd siapa siapa), dan ingin membalas omongn mega bahwa pak jokowi tanpa pdip bukan siapa siapa"
345,Adakah yang percaya klau bapaknya Gibran ngg ikut campur urusan cawapresnya ?.....
346,Pasti aneh aneh ntar kalau debat di tipi tipi gitu
347,Mana suara  bung anies matta dan bung fahri jugo prof yusril.  Orang2 hebat dan cerdas  kok kalah sama.  Calon karbitan
348,MENANG AMIN 😍😍😍😍
349,Negara kok buat main2 🤦🤦
350,"2 periode di cintai masyarakat,saya sungguh tidak ingin legacy  sebagai "" role model "" pemimpin  yang baik akan rontok, tinggal setahun lagi akan di kenang sepanjang masa. Tergoda dengan lingkaran yang haus kekuasaan,moral dan etika politik bisa di kesampingkan,"
351,"entah jadi apa negara ini, anak muda yang belum berpengalaman dan belum teruji. Berkecimpung didunia politik aja baru kemarin!! sungguh pemikiran dangkal!"
352,Jadi walkot baru 3 hari sudah naik grade wapres. Negara konoha
353,"Fix politik adalah interest, maju terus Gibran, tetap SemangArt🔥🔥🔥🔥"
354,Ahok lebih cocok
355,Anak berkebutuhan khusus😂
