index, comments
129,"Jauh lebih baik ridwan kamil dari pada Gibran, dari segi apapun ! Jika depat capres&cawapres nnti apa yg akan dia jelaskan tentang negara!yang ada lawan akan banyak bahan untuk menjatuhkan...."
130,Say NO to GIBRAN‼️ @prabowo
131,Pak @prabowo Duet Sama Pak Ridwan Kamil Atau Pak Ahok yang sudah teruji kualitasnya pak🔥❤️
132,"pak, masih ada RK atau YIM..... Jangan GR"
133,Selamat jadi CAPRES ABADI pak.. pilihan bpk tidak mewakili keinginan masyarakat…
134,"Seharusnya bapak @prabowo mempertimbangkan sentimen negatif jika gibran yang bapak pilih menjadi cawapres, bapak bisa pelajari suara akar rumput pendukung bapak, yang menginginkan pendamping bapak itu adalah orang-orang yang benar² punya kapasitas, bukan hanya karena anak presiden lalu dia mendapatkan kesempatan untuk bisa menjadi cawapres, ingat rakyat ini tidak bodoh lagi, kami ini bisa mendapatkan informasi yang lebih banyak berkat kemajuan zaman ini sehingga kami bisa melihat latar belakang pemimpin yang kami pilih nanti, kami mau pemimpin itu yang benar² punya kapasitas untuk bisa memimpin kami, bukan hanya sekedar karena dia anak presiden. Padahal banyak sekali cawapres potensial yang bisa mendampingi bapak seperti pak yusril atau erick tohir."
135,Ridwan Kamil aja Pak.
136,Prabowo - Yusril All in
137,"@gibran_rakabuming mas jangan nyalonin jadi cawapress prabowo lah, lihat warga indonesia kecewa jika masnya nyalonin jadi cawapres, dan menolak mencoblok pak @prabowo kalo gini caranya 😢"
138,Minimal Prabowo-Kamil atau Prabowo-Erick dong Pak 😢
139,tolong jangan gibran ya pak 🙏🏻
140,Skip pak
141,plis jangaaaannn gibran pak
142,"Please pak @prabowo, jangan blunder lagi. Masih ada @ridwankamil @erickthohir @khofifah.ip"
143,"Pak saya dukung bapak apapun :) … semoga pilpres ini menang ya pak … tapi coba di dengarkan mengenai wapresnya 🙏🏻 

Saya sangat yakin program bapak bagus buat Indonesia 

Sehat selalu pak 👏👏👏"
144,Ut omnes unum sint @prabowo  2024 RI1
145,Tolong Admin yang pegang Akun pak Prabowo sampaikan. Kita para pendukung Setia Prabowo tidak setuju Gibran sebagai Cawapres pak Prabowo. Prabowo bakal kalah lagi kalau Cawapres nya Gibran
146,Pak plis jadikan pak ridwan cawapres nya..
147,Jangan sampe wakil nyaa yg ono yaa pakk 🥲🥲🥲 kalo sampee saya pindah haluan pak🙃
148,"Pak prabowo, saya mahasiswa salah satu pendukung bapak dari dulu… kali ini bapak pilih gibran sbagai cawapres akan kalah lagi pak… kami dukung bapak jika cawapres nya yusril ihza… realita bapak kalah lagi jika gibran cawapres banyak rakyat tidak suka.. terimaksi"
149,Bapak.. RK plisss.. 😁
150,Kalau bisa cawapresnya jangan Gibran pak masih minim pengalaman
151,Blunder pak kalau G. Banyak yg mundur dari Milenial dan gen Z.
152,♥️
153,All in Prabowo 🔥🔥
154,Prabowo-Yusril lebih fair...tanpa neko...elektabilitas akan terpush naik tanpa sentimen negatif...
155,"ALL IN PRABOWO BATAL , KALO CAWAPRESNYA GIBRAN"
156,tolong kali ini menangkan prabowo
157,Bapak Prabowo minta tolong dengan Hormat kalau bisa Calon Wakil Presiden Bapak Ridwan Kamil.... Karena di mata Rakyat banyak yg mendukung bapak bersama Ridwan Kamil. ❤️
158,Blunder pak kalo pilih gibran :(
159,Prabowo-Gibran adalah simbol keberanian Indonesia.
160,Skip gibran
161,Please jgn blunder pak😢 jgn Gibran pak😢
162,"No gibran, mau aja dikibulin"
163,"I've followed then voted you since 2013. Hope you will not choose Gibran or Erick as your VP candidate. Hope you are able to choose your people based on their quality, not merely because of popularity. Don't trust media/survey. Even your closest people want you to fail. So trust your gut and your own observations."
164,"JGN GIBRAN SALAH AMBIL LANGKAH, MASIH TERLALU MUDA PAK"
165,Pilih ke anies kalo pilih nya gibran
166,@prabowo pak plis wakilnya jgn gibran😢@ridwankamil aja pak
167,Klo pak prabowo sama gibran itu bener2 blunder pak bpk pasti kalah lgi di pemilu 2024 l3bih bagus sama ridwan kamil pak
168,Dimana2 komen pada kecewa kalau Gibran wapresnya 😂
169,"pak tolong wapres nya jgn gibran , saya dukung penuh kalo wapres nya bukan dia , kalo wapres nya tetep dia mohon maaf saya skip pilih bapak"
170,Wahhh bakalan 3x lagi donk gagal pak...🥲 mumpung belom kejadian mending jangan gibran pak..👏
171,sukses selalu pak @prabowo ❤️❤️❤️❤️
172,"Yg terhormat Pak Prabowo
Saya mohon pilpres kali ini jangan pilih mas gibran 

Takutnya pendukung setia Pak Prabowo seperti saya ini berubah haluan untuk memilih Capres yang lain 🙌🙌🙌

Salam hormat dari Rakyat Kecil
Cc @prabowo dan @gerindra"
173,"Dengarkan pendukung pak,, jgn sampe milih gibran,, sy yakin itu blunder agar bapak kalah.. 😢"
174,"Bapak, bapak bisa kalah telak di putaran kesatu kalau pilih gibran 😢"
175,Gak bosen pak 4x kalah pilpres? (kalo cawapresnya gibran) wkwk 😂🤣😭
176,Kalo misal skenario terburuknya prabowo tidak bisa melanjutkan jabatan presiden (karena satu dan lain hal) dan otomatis gibran yang maju jadi presiden... apa rela bangsa sebesar Indonesia dipimpin gibran.... dengan dinamika geopolitik  dan dalam negeri yang tidak pasti kedepannya
177,"Aduh pak, bapak blunder.  Hati hati pak,  Gibran hanya pemecah agar suara bapak kabur ke Ganjar.  Aduh pak eee,  BAPAK INI BLUNDER KODONG. GAGAL JADI PRESIDEN KETIGA KALINYA PAK PADAHAL ADA RIDWAN KAMIL 😭😭😭"
178,Cawapres Gibran . Kayaknya gak akan menang lgi pak
179,@buruh.melawan anda kayaknya yang kurang baca gerakan buruh deh atau mungkin anda ini mahasiswa yang belum tuntas juga dalam gerakan mahasiswa sehingga lulus pun bkn tujuan karna bisanya jadi mahasiswa doang. baca baca gerakan buruh dek cari tau sejarah may day atau NIOG. biar agak sesusai akun mu sama yang kau sampaikan kalau ngga kalau emang masih mahasiswa belajar masuk kelas aja udah paling bagus itu
180,Prabowo - Ridwan kamil 👏
181,2 kali pemilu saya selalu coblos bapak. Tapi mohon maaf sekarang saya ga pilih bapak lagi jika cawapresnya gibran. Tolong pak pilih cawapres yg lebih baik.
182,Kalo wakilnya @gibran_rakabuming suara bapak akan terjun bebas. Prabowo -  Erick @erickthohir .... @rohmat_fatahilah
183,"@prabowo @erickthohir🇮🇩. Yg lain jgn pak,,,inilah kemenangan bpk dipilpres 2024,,,yg lain akal2an supaya bapak kalah lagi"
184,JANGAN GIBRAN PLISS 🙏🏻🙏🏻 @prabowo
185,Dilema..🙄😔
186,Maaf pak... sy cabut dukungan[ kalau sama.GR
187,Prabowo-Yusril pleaseeeee
188,Skip gibran
189,@prabowo NO GIBRAN ❌❌
190,Sudah Banyak Kodenya Presiden Jokowi kalau Pak Prabowo Cocok berpasangan dengan Mas Erick Thohir 🙏🙏🙏
191,"Arus bawah, akar rumput 90% nolak gibran jadi cawapres..fakta bosss"
192,"KALAU PASANGANNYA GIBRAN,LEBIH BAIK SAYA GOLPUT PAK😭"
193,Tidak setuju dgn wapres gibran
194,Mending bu susi / pa erik /pak ridwan  dah pak djamin lgsung bnyk yg pilih
195,"Pak, kalo sm gibran saya ga milih bapak ya"
196,"Blunder terparah kalo sampe Gibran wapresnya, gatau lagi mau bilang apa"
197,"PAK LEBI BANYAK CAWAPRES YG BERPENGALAMAN DARI KOALISI BAPAK, KENAPA AMBIL ANAK YG BARU IKUT POLITIK TERUS  DARI KOALISI PARTAI LAIN"
198,Kenapa harus Gibran pak? Kami mau bapak menjadi presiden tolong jangan gegabah memilih cawapres Gibran🥹
199,"siap2 unfollow kalau cawapres nya Gibran  #dagelan 
dan saya Golput ajaaa.. Sekian."
200,"Kalo sama gibran, selamat anda kalah lagi Bapak,  padahal saya pilih bapak 2x lo.."
201,kalo calon wakilnya kang emil sy coblos bapak👏
202,Tombol Prabowo x Ridwan Kamil
203,PALING ENAK DIGORENG PAS DEBAT CAPRES KLO GIBRAN😂😂
204,Terlalu dini kalo gibran. 😢 skip
205,"Cawapres Gibran = blunder, sory pak Prabowo dlu niat mo milih bapak tapi karna cawapres anda anak kemaren sore gw skip dulu mending golput"
206,"Please, say no to Gibran pak ..!! Please,  @prabowo - @ridwankamil  by: Penduduk KALIMANTAN 🔥"
207,"Pak wakilnya masih ada prof yusril, pak ridwan kamil.  yu pak jangan yang itu"
208,Jadi mendang mending kalo capresnya gibran😢
209,NI SI BAPAK LAGI DIMAININ CATUR AMA PARA DEDEMIT BERKAKI DUA.. FIX AUTO LOST KLO GIBRAN.. KUBU SANA LAGI KETAWA KETAWA😂😂
210,APAKAH PRABOWO AKAN BLUNDER MEMILIH CAWAPRES NYA ? Kita Tunggu
211,"Tolong pak dipertimbangkan kembali untuk pilihan wapresnya, kalau memang  benar Gibran bapak benar benar blunder"
212,Pak plisssssss cawapresnya jangan gibran 😩😩😩😩
213,tolong jangan gibran pak... ridwan kamil udh cocok
214,Sehat selalu pak Jendral @prabowo
215,"Kalau Gibran wapres nya,asli kecewa sekali pak.,"
216,jebakan malah dimakan udah tau pdi p mastermind
217,"Jangan salah paham teman"", Mas gibran hanya usulan dr partai golkar, partai lain juga ada usulan lain, belum ada keputusan final. Untuk pak @prabowo sebaiknya cawapres nya jangan mas gibran pak, jika bapak menyetujui mas gibran sebagai cawapres, terpaksa saya berpaling ke capres dan cawapres lain ."
218,"Pak kita semua berusaha mengingatkan bapak loh untuk tidak memilih cawapres Gibran kami memberi saran juga,apa bapak mendengarkan kami?🥹"
219,Pak please jgn gibran😢
220,Semoga bapak memilih wapresnya pak ET. Minta tolong jangan gibran ya bapak. Sedihhhhhh 😭
221,Pak jangan gibran pak..
222,KALAU WAPRES GIBRAN MAAF SAYA TIDAK PILIH BAPAK 🙏🏼
223,Ridwan Kamil aja pak kalau ga pak Erik Tohir 😢
224,"Bapak sama Pak Ridwan Kamil aja pak udh jelassss bakal menang banyak suara huhuu, soalnya Ridwan Kamil jg dicintai minenial. gue termasuk temen"" gue sbg mahasiswa udh pro pilih Pak Prabowo cuma lagi nunggu2 cawapresnya aja. pokonya jangan sama gibran pakk maafff bgtt"
225,Kalo Prabowo RK All in..Prabowo Gibran ufff
226,Please lah jgn gibran pak
227,hampir 8 ribu comment menolak Gibran menjadi paslon cawapres Prabowo 😁 🤝
228,"Prabowo gibran aku yakin akan kalah, bapa ga kepengen menang apa?, tolong dngar masukan dr pendukung2 bapa, kami ingin melihat bapa RI 1, liat pa baru heboh 2 hari ini ttng gibran & baru x ini elektabilitas bapa turun head to head, masih ada pa erik & pa yusril, dg bapa kukuh ambil gibran itu akan menguntungkan anies, pernah ga bapa berpikir rival yg pura2 suport pdhl akan menghancurkan bapa, pa prabowo tolong dengarkan semua masukan dr pendukung bapa 🙏 @prabowo"
229,"Harusnya tahun depan giliran bapa pak, tapi kenapa harus gibran pak"
230,Knp ga sama ridwan kamil wae pak?
231,Bapak yakin pilih Gibran? Pak Erick lebih paham ekonomi dan pengalamannya lebih okeee pak
232,Cawapres Gibran kita gajadi pilih bapak lo ya🙏
233,"Pak terserah sama siapa pak, aku pastikan suara ku untuk bapak tapi jgn ambil pak erick aku ga mau sepak bola kita balik ke zaman purba"
234,mantap siap! prabowo presiden #allinprabowo #prabowopresiden
235,Maap pak karna wakil mu saya all in pak anies
236,"Pak, sama Pak Yusril aja Pak😢"
237,"Bundir kalo sama gibran, mendingan sama eiichiro oda"
238,"Siapapun cawapres nya tetap dukung pak @prabowo, karna presiden yang menjalankan negara bukan cawapres, liat aja contohnya sekarang 5 tahun belakangan ini wakil presiden kerjanya apaan 😂😂😂"
239,Suara untuk prabowo anjlok gara² slah pilih wakil😂
240,Bapak mohon sgera umumkan RK jadi cawapres Bapak. agar tdk diserang badai politik dinasti
241,"Deklarasi aja pak hari ini, Erick sebagai cawapresnya bapak, elektabilitasnya sangat bagus dripda Gibran"
242,"Pak lihat lah pendukung banyak yg pindah arus, jdi pikirkanlah lebih baik lagi"
243,Siapa pun wakil nya saya percaya pak Prabowo 🔥
244,PASTI KALAH KALAU CAWAPRES NYA GIBRAN PAK @prabowo @gibran_rakabuming
245,"Pak, Erick Thohir saja Pak. Besar harapan saya di pilpres kali ini Bapak terpilih 😢🙏🏻"
246,JANGAN GIBRAN PAKKKK
247,All in @yusrilihzamhd
248,"Sekarang apapun Wapres nya kita semua tetap dukung Pak prabowo ya, karna apapun itu pasti sudah di pikirkan yang terbaik, ayoo kapan lagi kita punya presiden yang tulus untuk Indonesia lebih maju.. semoga semua pendukung Pak prabowo tetap setia, tulus selalu mendukung beliau ya untuk indonesia maju 💪"
249,Intinya ya smua jangan pilih yg ada sangkutan nya ma banteng inget ya megawati itu super licik orangnya
250,Pak prabowo katane gak bisa disetir??nyatanya kok bisa disetie banteng
251,Pak prabowo katanya gak bisa disetir??kok nyatanya bisa disetir banteng
252,Kalau cawapres bapak gibran dr banteng itu saya gak n beserta kluarga besar saya gak akan milih bapak 2024--2019 indonesia butuh perubahan gak didzolimin banteng lg n cuma jd boneka nya megawati
253,Lebih baik wakil nya pak ridwan kamil saya yakin 100% tanpa ada sangkutan nya dg banteng njenengan menang pak
254,Diumur berapa kalian baru tahu untuk salin komentar tap '2 kali
255,"Plis pak jangan Gibran kek ..masih bnyk yg Laen yg lebih canggih ,,Ridwan Kamil gtu contohnya,,,plis plis plis jangan gibran😂"
256,Pak prabowo saya yakin bapak pilpres 2024 ini akan menang dengan catatan bapak tidak menggandeng gibran sebagai wakil bapak
