index,comments
223,Saya pendukung jokowi 2 periode. Sangat respek terhadap Pak Prabowo setelah rekonsiliasi dsn masuk kabinet. SANGAATTT BERHARAP bisa maju Ganjar Prabowo atau Prabowo Ganjar. Gak ads urusan buat kami siapa yang jadi capres siaap cawapres. Tapi ternyata tidak ada yang mau mengalah. Tidak masalah. Bersainglah dengan fair. Itu awalnya yg saya pikirkan. Tapi setelah Mas Gibran masuk kontestasi dengan cara Mengunakan MK dengan segala kontroversinya maka siapapun yang bersama gibran menurut saya tidak layak untuk dipilih. Karena yang terjadi malah menghalalkan segala cara untuk memaksimalkan kemungkinan menang. Meskipun mengorbankan etika. Maaf Pak saya kembali tidak respeck dengan Anda dan Mas Gibran. Totalitas Ganjar - Mahfud
224,ALL IN PAK PRABOWO 🥶🥶🥶🤫
225,ALL in Prabu (Prabowo-Rakabuming)
226,Presiden aing 🔥🔥🔥
227,Bissmillah pak prabowo ❤️ presidenku
228,All in prabowo
229,"Pak kulo tiyang sleman tp kulo tetep ngeyel dukung panjenengan, bismillah menang satu putaran 🔥🔥🔥❤️"
230,Selalu dukung pak Prabowo 🔥🔥🔥
231,"Bismillah, semoga indonesia lebih baik dan maju lagi bersama bapak 🔥❤️👏"
232,all in Prabowo y dek 🔥 @sc.annisa_ @indahyhnna_ @anitazhras
233,Semangat pak bismillah yaAllah mudahkan jalannya dan sehat selalu ya pakk 🥰❤️🫶🏻
234,Prabowo & Jokowi 3 periode
235,Aku padamuuuu pakkk😍😍😍😍❤️❤️❤️
236,All in Bapak❤️
237,Saatnya SASUKE - BORUTO🔥🔥
238,Sy pilih pak Jokowi bukan karna pdip. 2024 Prabowo-Gibran penerus Jokowi
239,Bismillah all in prabowo😍🔥
240,"saya tetap pilih pak prabowo, 2 kali pemilihan…. semangat terus pak❤️❤️"
241,"Bismillahirrahmanirrahim, Pak Prabowo dan Mas Gibran For 2024"
242,#AllInPrabowoLagi
243,Prabowo ❤️🔥
244,All in Prabowo-gibran💪💪
245,❤️❤️
246,semangat ayah❤️❤️❤️
247,Males milih lu dah
248,🔥❤️
249,y x g coblos 🔥
250,Kecewa si aku nga jadi sama cipung 😢🔥
251,❤️🤍❤️🤍
252,pak mau coklat donk😢
253,Saya prabowo sejak alm Bpk masih hidup🔥🔥
254,masyaallah pakkk❤️
255,"Semangat pak, semoga 2024 jatah nya bapak yang jadi presidennya aamiin❤️❤️"
256,Indonesia saat ini butuh jiwa kepemimpinan pak Prabowo dan Mas Gibran.❤🔥✌😇🙏👍💪🇮🇩
257,🔥
258,bismillah pak ❤️❤️❤️❤️❤️ semoga tahun depan jadi 🔥🔥
259,Gasabar coblosan pilih Prabowo - Gibran 🔥🔥
260,Rumput tetangga lebih hijau!
261,❤️❤️❤️❤️❤️❤️
262,Hasil MK.
263,banyak buzzer sebelah di sini😂
264,Bismillah 🔥
265,Prabowo... ❤️❤️
266,Pengalaman dalam militer dan hadir tokoh muda 🔥 jossss....
267,Aku komen lah sesekali😍 aku padamu pak😝💪🏻💪🏻💪🏻
268,Saya Jateng dan siap dukung Gibran insya Allah 🔥
269,Prabowo & Gibran for 2024 🔥
270,❤️
271,Tetap setia dg Prabowo-Gibran di era gempuran [ GaMah ]🔥
272,❤️❤️
273,Ya pak. Saya restui.
274,@kintan_fmlia
275,Prabowo gibran 👏🔥🔥
276,All in pak
277,🔥🔥🔥
278,❤️❤️❤️
279,Bismillah pak prabowo  dan mas gibran menang..
280,JAWATENGAH GROBOGAN ALL IN PRABOWO GIBRAN👏🔥😍 INDONESIA MAJU SPERTI NGARA KOREA
281,#amin #AMINAjaDulu #aminajadulu 👉🏼❤
282,"Semoga terwujud jd R1 thn 2024 paxkkk, ADAKAH SERATUS PAK BOWOOOOO??🥰🥰🥰🥰🙈🙈🙈"
283,Hidup bapak prabowo
284,ALL IN JENENGAN PAK❤️❤️❤️
285,Menaaaanggg...tumpas Korupsiiiiiii...habisiiinnnnnnnn...
286,"Gasss pak Prabowo dan mas Gibran,saya tidak akan berpaling.jiwa boleh muda tapi mas Gibran adalah pemuda yg insyaallah bisa untuk dipercayaa❤️🔥"
287,Bismillah lahaulla Pak Prabowo dan Mas Gibran 👏❤️
288,all in bapak ❤️🙌
289,Bismillah prabowo-gibran 🔥🔥
290,Bismillah ya allah satu puteran❤️
291,❤️
292,Keknya bakal menang sihh
293,🔥
294,I love you pokokna mah pasangan iyeu❤️
295,Nah. Seimbang. Harus ada wakilnya yang muda…
296,JELASS ANAK MUDA ALL IN PRABOWO - GIBRAN 😎🔥
297,All in prabowoo😇
298,"Kecewa besar pak dengan bapak, keputusan bapak salah besar, kenapa harus dia yang menjadi wakil bapak, padahal masih banyak yang lebih pintar dan berwibawa dari dia , contohnya erick tohir, ahy, ridwan kamil, ingat pak negeri kita tidak boleh di permainkan"
299,"Semangat, Pak."
300,BISMILLAH PAK ❤️ 🇮🇩
301,Gasss pak🔥
302,Ini yang kumau.
303,"Polling yuk, silakan tekan tombol yg pilih Anies-Muhaimin (AMIN)>>>>>>>>>>>>>>"
304,prabowo presiden ku 🔥❤️
305,"Menang, menang, menang. Tuhan memberkati. 🙏👍👍"
306,Saya dulu prabowo tapi sekarang Anies
307,All in prabowo
308,👏👏👏👏👏👏👏Bismillah Menang🇮🇩🇮🇩
309,all in prabowo-gibran🔥👏
310,Dari tahun ke tahun selama masih ada gambarmu di kertas itu bakal tetep tak coblos Pak! 🔥
311,Perawan = PERAbowo With gibrAN😂
312,CAPRESKUUU🔥🔥🔥
313,All in PraBran 2024 🔥🔥
314,Insyaallah Allah kalo ini wakilnya saya pilih pak Anis mohon maaf pak bapak seharusnya pilih pak Ridwan Kamil sbgai capresnya
315,all in🔥
316,All in Anis
317,Bismillah Prabowo Gibran RI 1&2🤲
318,🔥🔥
319,Pa saya dukung bapa terserah yang lain mau dukung siapa bodoamat ❤️
320,All in pak prabowo
321,NTT ALL IN PRABOWO-GIBRAN 🦋🕊️❤️🙌🥳
322,Bismillaah PRABOWO-GIBRAN 👏🔥❤️
323,❤️
324,ALL IN PAK PRABOWO & MAS GIBRAN ❤️
325,MAGELANG ALL IN PRABOWO-GIBRAN
326,ALL IN PA
327,"Saya dulu ke Pak Prabowo, tapi saya All in ke Pak Anies ❤️"
328,2x Pilpres pilih Prabowo...krn takut kalah lagi ..apalagi salah pilih Cawapres...saat nya pindah ke Capres lain...AAMIIN
329,ALL IIN 🇮🇩❤️
330,"Pak saya warga tangerang dukung bapak,,2 x pemikihan slalu dukung bapak,,dan yg ke 3 x ny akan dukung bapak,,sehat slalu ya pak😢😢"
331,Bismillah presiden 2024 prabowo-gibran🔥
332,Warga fesbuk sepakat no BANTENG !!!!! SEMANGAT THE NEXT PAK PRESIDEN RI
333,"all in nihh, ada lawan?"
334,"TETEP PRABOWO-GIBRAN(JOKOWI) , KALAU YG LAIN TAKUT IKN GA JALAN, WONG BANGUN JALAN REMBANG AJA SEUMUR HIDUP GA JADI2😂😂"
335,BISMILLAH INDONESIA EMAS BERSAMA PRABOWO-GIBRAN🔥🔥
336,"Santaaaaiiii WO, karena semua akan ANIES pada waktunya. 🔥🔥 (;manis)"
337,BABEH  Tantanan Dunia ini sudah melenceng dari KONSEP
338,2024PrabowoGibran 🔥
339,Bismillah ya pak🥹🙏🏻❤️
340,ALL IN PRABOWO -GIBRAN🙌🙌
341,"Utk ketiga kalinya, saya izin Move on pak 😢🙏"
342,Mana suaranya para pendukung pak Prabowo Gibran di 2024 👏🙌❤️
343,"Kalo memang kalian mendukung Pak Prabowo dari Hati.. pasti ga akan kecewa , apapun keputusan yg di ambil psti sudah d pikiran matang2.. sehat slalu Pak @prabowo .. ALL IN PRABOWO - GIBRAN ❤️"
344,Milenial dan Gen-Z Sumatera Utara siap memenangkan Bapak @prabowo dan Mas @gibran_rakabuming untuk menjadi Presiden dan Wakil Presiden Republik Indonesia periode 2024-2029.
345,@senja_arinta59 🔥🔥
346,@husni_anto amin
347,"PRABU👍, PRA @prabowo, BU (rakaBUming) @gibran_rakabuming"
348,Info loker @iamrahmatnovrialdii @haliimm19 @ozisptra_ @arkasptn
349,"Masi ada aja yg milih, kocak🤣"
350,@cndymilkky all in pra-gib ini ma🔥
351,Semngat bapak @prabowo bismillah menang ✨✨✨✨✨
352,Bismillah Bapak❣️💫
353,All In Prabowo Gibran🔥🔥
354,Semangat pak🔥
355,all in prabowo-gibran❤️‍🔥❤️‍🔥❤️‍🔥
356,"Klo sudah jadi presiden, jangan lupa sama saya pak, saya suport dari 2014😍😢"
357,siap support❤️
358,"PSI dukung prabowo-gibran, 2024 prabowo menanggg😍😍"
359,Anak muda all in prabowo lah ♥️✌️
360,Turukan harga mie ayam baksooooooooo🔥🔥🔥
361,All in PRABOWO - GIBRAN 🔥🔥🔥
362,Karawang siap all in Prabowo presiden RI ❤️
363,Bismillah PRABOWO-GIBRAN menang telak 1 Putaran 🇮🇩
364,❤️
365,"Pak, saya cinta bgt sm bpk, dr awal sy cukup umur untuk pemilihan sy dukung bapak smpe skr❤️ sehat terus pak, semoga bisa bertemu"
366,"INSHAALLAH BAPAK TAHUN INI REZEKI BAPAK MENJADI PRESIDEN ❤️, SEHAT SELALU BAPAK"
367,"Seharusnya ada UU selagi ortu msh jadi presiden maka ank atau pun menantu tdk boleh menjabat,klw seperti hubungan buk Mega dan pak Jokowi jadi renggang gara gara suatu permasalahan 🙏🏼"
368,Saya dari NIAS mendukung berat paka Prabowo - gibran🙌🔥🔥❤️❤️🔥
369,Bapa sehat sehat terus paaaa
370,🙌
371,Saya yakin bpk menang 👏
372,"Tadinya saya kepingin mendukung @ganjar_pranowo dan @mohmahfudmd tetapi sekarang kok jadi bingung saya, hati saya kok condong ke @prabowo @gibran_rakabuming . Sesulit inikah memilih Capres-cawapres. Padahal 2014 dan 2019 tidak pernah segalau ini 😂😂"
373,All in Prabowo-Gibran ❤️
374,❤️❤️🙌🙌👏👏
375,ALL IN PRABOWO SUBIANTO SEBAGAI PRESIDEN KE 8 Amin🤲🤲🤲
376,🤍🤍🤍
377,"No petugas partai, No ingkar2 janji, pokoknya All in #Prabowo2024 🔥"
378,ALL IN PRABOWO❤️🔥
379,All IN Prabowo -gibran🙌
380,Yesss calon presiden dan wakil nya 😍😍
381,GUA NIAT DUKUNG BELIAU DARI DULU TANPA MELIHAT SIAPA WAKILNYA. SEKRANG TETAP SAMA GA BERUBAH. SERTAN APA SALAHNYA SOSOK ANAK MUDA YG MENJADI WAPRES. PENTING NIAT DAN TEKAD YG BAIK UNTUK INDONESIA YG LEBIH BAIK 🙏🏻🙏🏻🙏🏻👊🏻
382,All in 🔥
383,❤️
384,"Saya dari dulu simpatisan Bpk sya slalu dukung Bpk. Namun disayangkan dipilpres skrang cawapres Bpk bukanlah yg sya harapkan Pak. Yg muda2 maju itu bagus Pak. Tapi disini bkan hanya sekedar pengabdian kpd Negara  tapi disini tentang seorang pemimpin negara yg harus bnar2 matang, berpengalaman, berkapasitas ngerti tentang mengatur kenegaraan bahkan beridiologi dgn negara manapun. Sya tidak mau trulang kembali pemimpin (wapres) yg kurang kinerjanya hanya sekedar nama besarnya saja. Mnurut saya bnyak kandidat Cawapres yg lebih matang, berprestasi, berkapasitas, berpengalaman dan berkarisma sperti Bpk. Sya lebih baik Mundur Pak mohon maaf..."
385,"""Selalu Meleset""...sudah ditakdirkan,tak akan pernah yah...(simpan ramalan ini)...bukan tujuan mempengaruhi pemilih,...tapi masyarkat Indonesia akan sy edukasi untuk bisa berpikir logis dlm ambil keputusan..."
386,All in prabowo gasih
