,comments
184,"MANTAB GIRAN ...KAPOK MILIH PARTAI WONG CILIK,dulu bbm naik ,demo,nangis tp saat ini bbm naik kok diam ?..katanya dekat dgn rakyat tp kok  ada kasus WADAS ? program berantas korupsi tp gmn HARUN MASIKU ,UANG 349 T ,bicara di DPR tp tdk ada krlanjutanya ,apa hanya cari sensasi ? ...utk gibran yg pilih cawapres prabowo itu benar sb  saat raker ada yg bilang p jokowi itu bila tdk ada pdip  mau jadi apa ?...ingatlah P Jokowi itu Presiden & tdk sewajarnya dikatakan seperti itu .saya saja pendukung p jokowi 2 periode merasa sakit ,apalagi anaknya ( gibran ) ,utk itu masyarakat hatap paham dgn semua ini ..dan mari kita dukung PRABOWO GIBRAN ,biar negara aman dari dalam ( kkb ) juga dari luar ( perairan indonesia ) dan disegani negara lain menjadi macan asia ."
185,"Suatu saat politik yg model begini, bakal kena karma tndai aja.😂"
186,Dr muka dan penampilan aja uda nga ada aura pemimpin yg baik
187,Ya gak apa apa dianggap penghianat karna kan bapak saya juga penghianat.. jadi kami ini 1 keluarga penghianat + munafik
188,
189,"Lagian dlm dunia politik itu gak ada yg namanya di sebut loyalitas, percis seperti dunia sepak bola,, dimana aja bisa masuk . Judulnya “kepentingan dan keuntungan”…"
190,Prabowo-gibran tetap pilihan q..... Urusan menang kalah gak mslah...
191,"- Amerika julukannnya paman sam
- Indonesia julukannya paman usman"
192,"- Amerika julukannnya paman sam
- Indonesia julukannya paman usman"
193,Mana peduli dia
194,"Konyol, 3 calon yang gweh pengen ga ada yang srek sama sekali, pak prabowo harusnya sama pak mahfudz."
195,3periode 🤮
196,Yg ptg tetep bagi hasil
197,Btw konoha punya wapres ndak?
198,"Menghianati partai itu biasa
Menghianati kontitusi sangat luar biasa"
199,"Pas masih walikota ak resfeck bgt loh,,,tapi smnjak loncat nya kejauhan aga gimna gitu.minimal.slsaikn dulu masa jabatan nya sbgai walikota trus naik lah jadi gubernur benahi surakarta aj blom full ko mas mas ko loncat nya jauh bgt😂😂"
200,Jawaban ndak jelas
201,"Sudah saatnya kita bikin dia terdiam di pemilu 2024......., semua keluarganya sudah di beri kesempatan menjabat, tapi tak tahu caranya menghargai  orang"" yang berjuang dulu. Mari kita buat dia jadi gelandangan politik"
202,"""intinya aja, mas"""
203,"Biarkan keluarga pak Jokowi merasakan bagaimana rasanya diserang buzzer 😂, ternyata buzzer milik banteng 😂"
204,Bocil aji mumpung gak tau malu 😂
205,Sudah saatnya banteng istirahat... Biarkan PRABOWO-GIBRAN yg bekerja untuk indonesia👏
206,Konstitusi aja dihianati apalagi cuma PDI-P 😢
207,Ga masalah disebut penghianat demi kerakusan kekuasaan...sdhhilang akal sehatnya anak kecil ini...
208,Kata Pengkhianat itu merendahkan martabatmu Nak..! Jgn bangga dgn kata ini...! Insya Allah kamu akan kualat dgn kata - kata ini. .. 😢😢😢😢
209,"ingat, hanya anies yg tidak ada bau2 banteng nya 😂"
210,Ganjar Mahfud ❤️
211,"Jangan kita pilih yg gampang melupakan jasa orang yang sudah membesarkan seseorang, jangan pilih penghianat."
212,"Klo menurut saya pribadi, kayaknya pak prabowo-gibran yg menang krn dibelakang layar sudah di back up papa wowo"
213,Apa Pengkhianat ya jgn dipilih
214,udah ketebak gimana kedepan nya:3
215,COBLOS CIPUNG
216,Ndableqqq
217,Berkhianat partai A gapapa deterjen balesnya berkhianat sama rakyat terus gapapa??beda konteks boss coba lihat dari segi omongan gapapa dibalik itu pasti ada apa apa🙏🏻
218,Ganjar-Mahfud 2024-2029
219,😂
220,Plot twist: ini semua udah dirancang bu mega & pak joko untuk nggembosi suara pak PS08
221,😂 update status mlu kerjaannya 😮hidup 2 kaki😂
222,Negara Dagelan... Negara sudah kalah dan diacak-acak... Negara sudah lemah...
223,Semoga tidak menjadi presiden
224,Parah 😂😂
225,Atur aja terserah elo...negara punya bapak moyang Lo inih..
226,Bosen ngeributin itu terus😢😢😢!
227,lha memang iya toh pengkhianat wkwkwkk
