,comments
209,Seharusnya @erickthohir cawapres prabowo.Saya yakin dukungan Milenial akan masive.tp ya nasib sampe saat ini berkata lain.Erick pamannya ga punya palu yg power full.semoga tgl 7 dibatalkan.trs tgl 8 diganti erick.saya kira.persaingan akan lebih enak ditonton.
210,Hijau bearti AMIN
211,Prabowo Gibran 👏
212,"Hidup prabowo ,, saya lihat prabowo bukan lhat Gibranga"
213,"Saya tdk mendahulukan takdir, saya cuma ragu negara dipimpin seorang bocil 🙏🙏🙏"
214,mak banteng tambah merasa dikepretin mahluk2 beginian...😁
215,Hijaukan rumput stadion sepak bola saja
216,Emg ada yg lebih layak? Pranowo menang 1 putaran
217,moncongor putih ketar ketir gk tuuuh
218,Cuma anies yg paling cerdas dari calon ini
219,❤️🇮🇩ANIES MUHAIMIN🇮🇩❤️
220,AMIN aja dulu
221,"Kumpulan para pembegal, kembali seperti tahun 2014, muda mudahan orang baik dan benar yg terpilih"
222,"stadion JIS bagaimana kelanjutannya luar negeri tidak menyangka Indonesia mempunyai stadion JIS sehebat ini tapi sama cangkemu diputar balikan rumputnya, pintunya"
223,"Oalahhh...nitip dihijaukan ya pak? Lampu hijau kan jalan tuh, ckckck...sambil menyelam minum air😂 ati2 entar kembung lohh😂"
224,inshaallah knapa dipikiran saya ketika 2034 nanti capres/cawapres erik tohir dan ridwan kamil
