slang,formal
wiiiihhhh,wih
samoga,semoga
aamiin,amin
kereennn,keren
cobaa,coba
tuhh,tuh
wahh,wah
gk,tidak
nyangkaa,menyangka
hasilnyaaa,hasilnya
bangetttt,banget
dahhhh,dah
cmn,cuman
mudah2,mudah-mudah
bisaa,bisa
jugaakk,juga
prnh,pernah
diapa2in,diapa-apai
yaak,ya
lhoo,loh
mnta,minta
donx,dong
kyk,kayak
gthu,begitu
nda,indak
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
bnyak,banyak
berntung,beruntung
merka,mereka
jln2,jalan-jalan
romntis,romantis
slamat,selamat
ulan,ulang
th,tahun
mngkin,mungkin
klau,kalo
diksi,dikasih
bgini,begini
sipp,sip
masi,masih
taun,tahun
jugak,juga
nungguin,menunggu
ngeluarin,mengeluarkan
keciill,kecil
ughaa,juga
"tante""",tante-tante
thn,tahun
ngerasa,merasa
gw,gue
banged,banget
abeees,habis
kapan2,kapan-kapan
adain,mengadakan
bsa,bisa
gk,tidak
bosen2,bosan-bosan
sempurnaaaaa,sempurna
kaan,kan
kece2,kece-kece
badaaiii,badai
beneraan,benaran
cantiiik,cantik
bgtt,banget
kuatttt,kuat
cantiiiiiiik,cantik
cantiknyaaa,cantiknya
pgn,pengin
bae2,baik-baik
lg,lagi
cantikkk,cantik
bgd,banget
mb,mbak
catiiiiik,cantik
bangeet,banget
subahanallah,subhanallah
cantikkk,cantik
bgt,banget
jaman2nya,jaman-jamannya
dapetin,mendapati
padet,padat
ga,tidak
buktiin,buktikan
km,kamu
yg,yang
cantiq,cantik
ak,aku
km,kamu
smua,semua
"pasien""nya",pasien-pasiennya
ngantri,mengantri
lohh,loh
bgt,banget
mngkin,mungkin
utk,untuk
ngasih,mengasih
keeeerrrreeeennnnnnnnn,keren
woow,wow
choker2,choker-choker
skarang,sekarang
skrang,sekarang
kaka,kakak
lohh,loh
gara2,gara-gara
buktiin,membuktikan
bangettttt,banget
hadirrr,hadir
hadirr,hadir
jelashh,jelas
sekali2,sekali-kali
mbaaa,mbak
temen,teman
kerenn,keren
