index,comments
147,"Mau merubah nama"" jalan seluruh Indonesia pak😂😂😂"
148,17% hasil survei itu adalah orang-orang yg masih bisa dibius oleh mulut manis
149,TDK ADA PERUBAHAN BILA BANSOS DI TIMBUN SAMPAI MEMBUSUK.
150,Ga ada pembangunan yg berarti di jakarta sejak dipimpin nih orang. Sungai2 pada kotor. Jalur busway ga bertambah. Persoalan Kemacetan ga di sentuh. Yg dibangun cm trotoar dan jembatan2 dengan narasi2 yg membanggongkan. Haff.
151,Pak anis jngam mau kolab sm ganjar bpk punya pendukung lebih banyak dari pada sirambut putih...pak anis sulawesi😍
152,Begitu jd tapi kenyatan nya ga berubah² tetep aje ga ada perubahan kasihan para pendukungnya 😂
153,Itu bukan perubahan tapi koreksi😂
154,Jakarta aja kau urus gak becus..
155,ngibul
156,"Nasdem blunder pilih capres wkwkk 2024 nasdem tenggelam apaan perubahan 🤣🤣🤣 koalisi abal"""
157,🔥🔥
158,Capres nyungsep🤭🤭🤭
159,Cuihhh
160,KOALISI GADUH SENDIRI. HAJI DIKONTENIN. DRAMA DIJEGAL LAH. DLL. KALAU MAU BENAHI NEGERI ITU TIDAK HANYA PANDAI MENIPU. KALAU TIDAK MAU DIKENANG SEBAGAI BAPAK PENIPU NASIONAL
161,Perubahan adalah koalisi 8 triliun dan @aniesbaswedan yg goblok😂😂😂😂
162,MasyaAllah tabark'allah
163,"5 tahun ngak buat apa untuk wong cilik,, 1 puskesmas pun tidak ada terbangun. Masih aja nge ngeclaim bisa kerja 😂"
164,"Saya dukung pak Anies,cuma ada pertanyaan...pertama apa sikap  pak Anies dengan merebaknya kaum LGBT di negara kita,kedua apa tindakan pak Anies bila menemukan  kasus korupsi meskipun itu dari orang terdekat pak Anies....tolong dijawab biar lebih mantap"
165,Monas pun selama dia mnjabat di rubah kok..pohon² mahoni di sekitaran Monas di tebang ...patung bambu yg kata nya ga mau import tapi nyatanya import dri cina bahkan habis ratusan juta ujung² nya di BONGKAR ....trotoar warna warni..lem Aibon nyame ratusan juta ....pak Jokowi hutang untuk negara bangun jalan agar semua transportsmtasi smkin mudah dan semua itu sudh diperhitungkan utang tapi ada hasil ........dri pada hutang proyek² pada mngkrak uang masuk saku para pejabat kita juga yg merasakan bayar pajak buat lunasin uang yg di korup ....harusnya pada mikir apa yg harus di rubah...yg di rubah itu pola pikir anda para pendukung Anis.....
166,👍
167,👏👏👏👏🔥🔥
168,Saya dukung pak anies jadi presiden 2045
169,#indonesiaharusbersamaorangbaik ✋🇮🇩
170,Saya warga DKI bangga kepada bapak Anis Rasyid baswedan
171,Insyaa Allah pak Anies 2024
172,❤️❤️❤️❤️
173,Bismillah pak Anies RI 2024
174,"Sehat² pak anis. Semoga bisa jadi presiden selanjutnya di 2024. Tolong rawat demokrasi negara kita. Tolong sejahterakan rakyat miskin, sejahterakan masyarakat Indonesia. Tolong sejahterakan buruh. Dan rawat kembali keadilan."
175,❤️
176,SAMPAI BOTAK KELAPA TETAP SAYA TIDAK AKAN PILIH INTOLERAN TUKANG NGIBUL
177,Katamu seperti clocedmu 😂😂
178,gak suka sm partai yg mengusung maaf pak
179,Ayo .... bangkit
180,🙏🏻👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽
181,#2024aniespresiden🇲🇨
182,stujuuuu
183,"Anies gagasan, perubah, itu l2 terus lu niess bicara tapi kaga ada langkah2nya atau konsepnya. 😂 dsr p3mbual"
184,"Setiap periode kepemimpinan itu harus ada perubahan inovatif, tanpa ada perubahan Inovatif berarti pasif hanya YESMANut"
185,Dizaman soeharto sdh pernah koq dilakukan perubahan perbaikan kemajuan utk rakyat yg masih miskin yg masih ga punya duit sebanyak itu..ketika beliau mulai dirusak oleh oligarki internasional disitulah awalnya yg pada akhirnya oligarki abal abal tokoh chino ga beres ga ada urusan tai kucing..mulai ikut ikutan memengaruhi seperti dulu ada yg namanya bank swasta bikinan alias yg punya swasta chino yg anaknya bermasalah dinegeri ini...ini yg hrs dicari dikepung sampai mati...faham
186,Kita mau keluar dari kesulitan dari kerangkeng dinegara sendiri srta kita mau berdaulat
187,Bismillah Anies presiden RI bahagia sejahtera rakyat nya
188,.
189,😂
190,"Bismillah Indonesia bersama Pa Anies Baswedan Presiden Indonesia 2024, In Sha Allah bersm Pa Anies Baswedan 2024 berubah menjadi Indonesia yang Adil Makmur dan Sejahtera, Aamiin Yaa Rabbal""alamiin ❤️❤️"
191,"It,s ttime  partai nasdem, restorasi indonisia, nasdem bersama rakyat 👍👍👍 nasdem hebat"
192,ANIES pilihan rakyat
193,ANIES presiden 2024
194,Bersama pemimpin yg baik untuk indonisia lebih baik
195,Tak segampang buat lobang di jalanan
196,Tetap memilih pak Anis Baswedan presiden RI
197,Jadi ingat orasi gubernur jakarta yg bilang kalau banjir jakarta bisa diatasi kalau dia jadi presiden 😂
198,Wong ruwet
199,"Srlalu jawabannya general bgt "" NGAMBANG"" , jelasin dong ngapain aja untuk mencapai itu, kalo cmn pengen sih anak tk juga pengen permen gratis 😂😂😂😂😂😂 , cetek sekali yg gini didukung 🤮🤮"
200,🔥🔥🔥
201,JANGAN LUPA KESEHATAN DENGAN DR LASER
202,Hidup pak Anis Baswedan
203,Perubahan itu kalo mendapatkan hadiah umroh tidak diubah dengan yang lain👏😂
204,senator armstrong
205,PERUBAHAN...BANYAK HAL YG PERLU DIRUBAH...
206,Perubahan? Apa yang mau dirubah pak?😂
207,"Iya Pak di buku pun begitu harus ada prubahan agar bisa lebih baik, tapi apa yg berubah, bagaimana merubahnya berpa persen keberhasilan perubahanya yakin bisa berubah 😂"
208,Waduh buzer nya banyak amat
209,Bismillah 💛 ROBBANA THOHIR QOLBI BERSIHKAN SUCIKAN HATI KAMI YA ALLAH TUHANKU AAMIIN 💛 QS Ar Rad 11 Perubahan sebuah BANGSA HANYA BISA DI RUBAH OLEH BANGSA ITU SENDIRI 💛🙏💛. JANGAN MELAWAN FIRMAN ALLAH TUHANKU.jadi Jelas SANGAT JELAS INDONESIA TERCINTA BISA BERUBAH JIKA DI PIMPIN OLEH BANGSA RAKYAT INDONESIA TERCINTA PRIBUMI NUSANTARA ASLI 💛 BUKAN OLEH KAUM BANGSA LAIN 💛 mau melawan hukum FIRMAN ALLAH TUHANKU.????? SILAHKAN MENJADI KAUM MUNAFIKUN QS AN NUR 46 49.MEREKA HANYA MEMAKAI AYAT AYAT YANG COCOK DENGAN NAFSUNYA SENDIRI KLOMPOK NYA (YANG GA COCOK GA DI PAKAI) NSUDZUBILLAH TZUMA NAUZUBILLAH
210,Lo pikir gue percaya gitu????!!!😂😂😂😂😂
211,"1 kata anis baswrda 24 ds ,RI"
212,"Perubahan : Apa yg perlu di tingkatkan, apa yg di tambahkan, apa yg perlu di koreksi dn apa yg perlu di HENTIKAN bila mana itu tdk menciptakan unsur keadilan 💪 Bismillah, Biiznillah #AniesPresidentRI2024🇮🇩"
213,No Anies no party ❤️‍🔥❤️‍🔥❤️‍🔥
214,"Indonesia ini sudah punya segalanya,saatnya kita semua bekerja untuk Indonesia."
215,sama kek rumah sakit jadi rumah sehat.... dsb dsb.... 😂😂😂
216,Prettt sama tukang bacot and tukang ngibul ... selama memimpin terkenal krn kegagalannya... hahaha ... pilihlah yg jelas bukan yg edan ...
217,MASYA ALLAH TABARAKALLAH UNTUK SEMUA PARA PENDUKUNG PERUBAHAN MENUJU INDONESIA LEBIH MAKMUR MAJU DAN BERMARTABAT AYO JADILAH BAGIAN DARI PERUBAHAN UNTUK INDONESIA.
218,Rubah namanya gitu aja kok repot....
219,klo di mbah google dan kamus.. Perubahan adalah proses yang wajar dan alamiah sehingga segala sesuatu yang ada di dunia ini akan selalu berubah.
220,"Pemerataan pembangunan untuk kepuluan, terutama di kepulauan sumenep Pak"
221,"KALO SAYA PENGEN UNDANG2 KORUPTOP ,TENTANG  MALING  DI INDONESIA KITA INI SEGERA DI SAHKAN PAK , SAYA PENGEN MALING2 DI NEGARA KITA HARUS DI MISKINKAN PAK , SAYA DUKUNG BAPAK JADI PRESIDEN PAK , SEMANGAT PAK , SAHKAN UU PERAMPASAN ASET PAK @aniesbaswedan 🔥🔥"
222,Bismillah semoga 2024 ada perubahan
223,"Pak klo bapak jadi presiden,tolong buatkan kincir angin di jabodetabek untuk mengurangi polusi udara pak"
224,Takut cmn d janjiin DP 0 % 😂😂😂😂 giliran jd emang janjinya apa yah????
225,Nasib guru TK lebih di perhatikan lagi pak
226,"Saya ingin perubahan  krn hidup makin sulit  saya jg ingin negara ini maju, aman damai tdk spt sekarang"
227,kang lawak wkwkw
228,Pak Anis akan selamatkan Rakyat dari kerakusan Oligarki..
229,Saya  enar
230,Pilihanku yg tepat ARB AHY. Mantaaap.
231,#aniesforpresidenri2024
232,Ga ngerti
233,Hahahahhahaa
234,BUZZER PASTI AKAN RAMAI KLO PAK ANIES BICARA TTG VISI MISINYA ATAU FAKTA YG SDH DILAKUKAN😂😂 DGN MAKSUT UTK MENJATUHKAN . SELALU BGTU. HABS GELARAN FORMULA E  2HR KEMUDIAN TURUN SURVEY PENURUNAN ELEKTABILITAS. HBS PAK ANIES NAIK HAJI BBRP HR KMDN KELUAR LG  SURVEY SEMAKIN MENURUN. HBS APEL SIAGA NASDEM DI GBK 3 HR KMD KELUAR LAGI SURVEY ANIES SEMAKIN MENURUN TAJAM😂😂😂. POKOKNYA KLO HBS KEGIATAN ATAU ADA FRAMING TTG KESUKSESAN PAK ANIES NGGA LAMA PASTI KELUAR TUH SURVEY..BERUSAHA BANGET MENDOWN GRADE ..WKWKWK
235,"Halah, cuma cakap, caranya donk. BPJS aja ente ga paham tp bicara sulit berobat 😂"
236,🔥🔥🔥👏👏
237,"Kita butuh perubahan pak, bukan per ubanan ehhh"
238,"Lawan dari perubahan adalah status que dan perubahan harus menuju arah ke lebih baik, karena perubahan tanpa arah lebih baik akan sia sia, untuk menuju perubahan yang lebih baik harus ada rencana kalau didalam islam adalah niat dan diucapkan didalam hati."
239,"Bulsittt😂, model begini SDM rendah pasti milih aniss"
240,"Kalau kita ingin tahu kondisi jakarta sejak dipegang anies kalian harus pergi ke Jakarta dan lihat hasilnya bukan hanya info dari pembenci anies, youtuber youtuber dari Malaysia saja banyak yang kagum dengan perubahan dan pembenahan, sekarang saya sedang memperhatikan dan melihat bagaimana youtuber youtuber dari negara asing melihat perkembangan khusus di Jakarta, karena jakarta adalah ibukota dan jakarta adalah cermin pembangunan di Indonesia walaupun Indonesia itu luas tetapi maju dan tidaknya suatu negara ibukota negara adalah cermin dari kondisi negara tersebut."
241,"konsep keberlanjutan adalah sesuatj yg dungu.masa iya mau dalam.keadaan yg sama terus,itukan pemikiran orang dungu."
242,Carax pak?
243,Utamakan penc
244,Utamakan pencitraan dari pada pekerjaan 😂😂
245,Pak @aniesbaswedan jika jadi presiden harun masiku bakal di kejar kan!
246,😂
